1779956021.397,0,312,fist,1.0,0,0.84,0.0694,1.246,1,175,54,239,134,"R3_fist(n=0,sol=0.84):0.43"
1779956021.938,0,353,fist,1.0,0,0.839,0.0684,1.27,1,177,53,239,132,"R3_fist(n=0,sol=0.84):0.42"
1779956022.273,0,188,fist,1.0,0,0.871,0.0658,1.27,1,177,53,239,132,"R3_fist(n=0,sol=0.87):0.43"
1779956022.726,0,140,fist,1.0,0,0.87,0.0659,1.27,1,177,53,239,132,"R3_fist(n=0,sol=0.87):0.43"
1779956023.507,0,421,fist,1.0,0,0.869,0.0657,1.27,1,177,53,239,132,"R3_fist(n=0,sol=0.87):0.43"
1779956023.905,0,319,fist,1.0,0,0.87,0.0663,1.27,1,177,53,239,132,"R3_fist(n=0,sol=0.87):0.44"
1779956024.740,0,653,fist,1.0,0,0.868,0.0655,1.27,1,177,53,239,132,"R3_fist(n=0,sol=0.87):0.42"
1779956025.144,0,404,fist,1.0,0,0.867,0.0659,1.27,1,177,53,239,132,"R3_fist(n=0,sol=0.87):0.43"
1779956025.822,0,581,fist,1.0,0,0.869,0.0655,1.27,1,177,52,239,131,"R3_fist(n=0,sol=0.87):0.42"
1779956026.218,0,395,fist,1.0,0,0.871,0.0664,1.286,1,177,52,239,132,"R3_fist(n=0,sol=0.87):0.44"
1779956026.852,0,529,fist,1.0,0,0.867,0.0653,1.254,1,177,53,239,131,"R3_fist(n=0,sol=0.87):0.42"
1779956027.207,0,354,fist,1.0,0,0.832,0.0687,1.231,1,175,52,239,131,"R3_fist(n=0,sol=0.83):0.37"
1779956027.429,0,76,fist,1.0,0,0.842,0.0697,1.246,1,175,51,239,131,"R3_fist(n=0,sol=0.84):0.44"
1779956028.134,0,281,fist,1.0,0,0.846,0.0704,1.262,1,175,51,239,132,"R3_fist(n=0,sol=0.85):0.47"
1779956028.385,0,31,fist,1.0,0,0.875,0.0685,1.246,1,175,51,239,131,"R3_fist(n=0,sol=0.88):0.48"
1779956029.069,0,216,fist,1.0,0,0.873,0.0684,1.231,1,175,52,239,131,"R3_fist(n=0,sol=0.87):0.47"
1779956029.642,0,288,fist,1.0,0,0.868,0.0675,1.246,1,175,51,239,131,"R3_fist(n=0,sol=0.87):0.46"
1779956030.328,0,474,fist,1.0,0,0.833,0.0689,1.246,1,175,51,239,131,"R3_fist(n=0,sol=0.83):0.38"
1779956030.742,0,387,fist,1.0,0,0.869,0.0659,1.231,1,175,52,239,131,"R3_fist(n=0,sol=0.87):0.43"
1779956031.331,0,475,fist,1.0,0,0.841,0.0703,1.242,1,174,51,239,132,"R3_fist(n=0,sol=0.84):0.44"
1779956031.453,0,98,fist,1.0,0,0.877,0.0687,1.246,1,175,51,239,131,"R3_fist(n=0,sol=0.88):0.48"
1779956032.136,0,280,fist,1.0,0,0.846,0.0704,1.246,1,175,51,239,131,"R3_fist(n=0,sol=0.85):0.47"
1779956032.625,0,268,fist,1.0,0,0.851,0.072,1.242,1,174,51,239,132,"R3_fist(n=0,sol=0.85):0.51"
1779956033.197,0,340,fist,1.0,0,0.853,0.0721,1.258,1,174,50,239,132,"R3_fist(n=0,sol=0.85):0.52"
1779956033.810,0,452,fist,1.0,0,0.837,0.0685,1.246,1,175,51,239,131,"R3_fist(n=0,sol=0.84):0.41"
1779956034.036,0,178,fist,1.0,0,0.824,0.0872,1.169,1,169,39,239,121,"R3_fist(n=0,sol=0.82):0.31"
1779956034.617,0,258,fist,1.0,0,0.858,0.0906,1.0,1,149,11,239,101,"R3_fist(n=0,sol=0.86):0.56"
1779956035.014,0,155,fist,1.0,0,0.885,0.0955,1.011,1,148,9,239,101,"R3_fist(n=0,sol=0.89):0.75"
1779956035.588,0,230,fist,1.0,0,0.838,0.0981,1.022,1,148,8,239,101,"R3_fist(n=0,sol=0.84):0.41"
1779956036.008,0,148,fist,1.0,0,0.887,0.0973,1.033,1,148,6,239,100,"R3_fist(n=0,sol=0.89):0.76"
1779956036.653,0,293,fist,1.0,0,0.899,0.0981,1.022,1,148,7,239,100,"R3_fist(n=0,sol=0.90):0.85"
1779956037.059,0,199,fist,1.0,0,0.897,0.0984,1.033,1,148,7,239,101,"R3_fist(n=0,sol=0.90):0.84"
1779956037.911,0,550,fist,1.0,0,0.843,0.0992,1.033,1,148,7,239,101,"R3_fist(n=0,sol=0.84):0.45"
1779956038.318,0,406,fist,1.0,0,0.897,0.0995,1.043,1,148,6,239,101,"R3_fist(n=0,sol=0.90):0.84"
1779956038.934,0,522,fist,1.0,0,0.895,0.0984,1.033,1,148,7,239,101,"R3_fist(n=0,sol=0.90):0.82"
1779956039.067,0,133,fist,1.0,0,0.893,0.0983,1.033,1,148,7,239,101,"R3_fist(n=0,sol=0.89):0.81"
1779956039.863,0,428,fist,1.0,0,0.894,0.0975,1.022,1,148,8,239,101,"R3_fist(n=0,sol=0.89):0.81"
1779956040.101,0,166,fist,1.0,0,0.895,0.0984,1.033,1,148,6,239,100,"R3_fist(n=0,sol=0.90):0.82"
1779956040.710,0,274,fist,1.0,0,0.891,0.0966,1.011,1,148,8,239,100,"R3_fist(n=0,sol=0.89):0.79"
